CSP_TKE_SH,CSP_TKE_BU,CSP_TKE,CSP_TKE_TEND
0.0,0.0,0.0,0.0
0.0,-5.4810635e-12,2.8939369e-09,-5.4810635e-12
-2.8720434e-11,9.935044e-11,1.1740004e-08,4.1909566e-11
-2.2790467e-11,1.2115482e-10,1.4494164e-08,7.5573894e-11
5.889356e-12,1.9262586e-11,1.3898109e-08,3.1041298e-11
1.9443181e-11,-1.44026015e-11,1.3140368e-08,2.4483762e-11
2.5188643e-11,8.555769e-11,1.630102e-08,1.3593499e-10
3.2232394e-11,1.2410045e-10,2.0332948e-08,1.8856525e-10
3.8361012e-11,1.0816441e-10,2.4348457e-08,1.8488643e-10
3.6924023e-11,-1.4790873e-10,2.6862445e-08,-7.406069e-11
2.9207053e-11,-1.8505798e-10,2.9215453e-08,-1.2664388e-10
2.5993365e-11,-9.9824114e-11,3.4893578e-08,-4.783738e-11
3.5916506e-11,3.3344302e-12,4.5087344e-08,7.516744e-11
4.791686e-11,1.6978206e-10,5.5646492e-08,2.6561578e-10
4.0800602e-11,3.4702233e-10,6.2681366e-08,4.2862355e-10
1.03351095e-11,5.342056e-10,6.657323e-08,5.5487587e-10
-1.3225927e-11,6.727398e-10,7.277742e-08,6.4628797e-10
-3.3109782e-12,7.0976025e-10,8.588642e-08,7.031383e-10
3.7359005e-11,5.9699395e-10,1.0700203e-07,6.7171196e-10
7.3241406e-11,5.084812e-10,1.314235e-07,6.54964e-10
8.197748e-11,3.3897768e-10,1.5273297e-07,5.0293264e-10
7.383018e-11,2.2625096e-10,1.7017568e-07,3.739113e-10
7.301899e-11,1.3623684e-10,1.8058176e-07,2.8227481e-10
6.361914e-11,3.8477546e-12,1.8665501e-07,1.3108603e-10
5.0436603e-11,-8.205736e-11,1.9111404e-07,1.8815845e-11
2.9077353e-11,-1.2931002e-10,1.9393178e-07,-7.115532e-11
1.8491923e-11,-1.0617225e-10,2.0277105e-07,-6.9188405e-11
1.6127797e-11,-9.3658525e-11,2.1600475e-07,-6.140294e-11
2.8152845e-11,-1.0666904e-10,2.3344202e-07,-5.036335e-11
2.937337e-11,-8.3240935e-11,2.5052708e-07,-2.4494198e-11
5.1965307e-12,4.7016488e-11,2.6177463e-07,5.740955e-11
-3.596703e-11,1.815854e-10,2.6529162e-07,1.0965133e-10
-7.3785165e-11,3.1384997e-10,2.700668e-07,1.6627963e-10
-8.4702044e-11,4.4517315e-10,2.7841665e-07,2.7576905e-10
-6.632e-11,4.6532816e-10,2.8725677e-07,3.3268815e-10
-4.1690436e-11,4.1597298e-10,2.981768e-07,3.3259212e-10
-1.6794358e-11,3.4057107e-10,3.1156574e-07,3.0698238e-10
3.6596975e-12,2.818161e-10,3.2602227e-07,2.891355e-10
1.9064583e-11,2.0855205e-10,3.40546e-07,2.4668123e-10
2.5045608e-11,1.342103e-10,3.5561274e-07,1.843015e-10
1.9335904e-11,1.03621875e-10,3.6883452e-07,1.4229369e-10
4.122303e-12,9.621498e-11,3.7973706e-07,1.0445958e-10
-1.511296e-11,8.2199504e-11,3.8786746e-07,5.1973585e-11
-3.5931553e-11,9.98828e-11,3.958865e-07,2.8019694e-11
-4.015335e-11,1.0128759e-10,4.0356002e-07,2.0980887e-11
-3.1959407e-11,5.1316763e-11,4.0714835e-07,-1.2602051e-11
-2.1022958e-11,-2.3389261e-11,4.0812532e-07,-6.543517e-11
-2.8672955e-11,-4.141866e-11,4.055686e-07,-9.8764566e-11
-5.0568882e-11,1.8845512e-11,4.0191395e-07,-8.2292256e-11
-6.103125e-11,8.0345966e-11,3.9576597e-07,-4.1716533e-11
-6.624706e-11,1.5468167e-10,3.877234e-07,2.2187543e-11
-8.0768316e-11,2.7401423e-10,3.7931184e-07,1.12477604e-10
-9.5288125e-11,3.3646594e-10,3.697143e-07,1.4588968e-10
-9.583942e-11,3.2834468e-10,3.5697235e-07,1.3666585e-10
-8.1991365e-11,3.2961764e-10,3.4406585e-07,1.6563492e-10
-6.661652e-11,2.8595767e-10,3.3481655e-07,1.5272464e-10
-4.435085e-11,2.3645402e-10,3.2819602e-07,1.4775231e-10
-1.7044767e-11,2.0850585e-10,3.2482933e-07,1.7441631e-10
2.6439701e-12,2.7878735e-10,3.2668316e-07,2.840753e-10
1.0917037e-11,3.6076198e-10,3.3184895e-07,3.8259607e-10
1.350692e-11,3.8997738e-10,3.3794427e-07,4.1699122e-10
1.6369583e-11,3.4463582e-10,3.4389086e-07,3.7737496e-10
2.1339411e-11,2.2715133e-10,3.4971922e-07,2.6983013e-10
2.1252989e-11,2.0062314e-10,3.5523973e-07,2.4312913e-10
1.2882734e-11,2.890985e-10,3.6251106e-07,3.1486394e-10
-4.1005307e-12,3.8598905e-10,3.710049e-07,3.77788e-10
-1.8298023e-11,3.9885636e-10,3.772957e-07,3.622603e-10
-2.0009293e-11,3.489552e-10,3.8239924e-07,3.089366e-10
-1.5792354e-11,2.9867814e-10,3.8720293e-07,2.670934e-10
-1.1236919e-11,3.5059222e-10,3.9371747e-07,3.2811837e-10
-1.288455e-11,3.9079373e-10,4.024432e-07,3.6502462e-10
-1.9102248e-11,4.1008846e-10,4.1351154e-07,3.7188397e-10
-2.020105e-11,4.4231807e-10,4.236478e-07,4.0191594e-10
-2.3800004e-11,4.749311e-10,4.2595894e-07,4.2733106e-10
-2.9357024e-11,5.0488613e-10,4.2422735e-07,4.461721e-10
-3.550623e-11,5.1984866e-10,4.254391e-07,4.4883622e-10
-4.334245e-11,5.2074584e-10,4.2576062e-07,4.3406095e-10
-4.8554487e-11,5.100567e-10,4.2809936e-07,4.1294773e-10
-4.7166833e-11,4.985593e-10,4.2958823e-07,4.0422565e-10
-5.0390553e-11,4.871421e-10,4.345218e-07,3.86361e-10
-5.0017514e-11,4.4307097e-10,4.389893e-07,3.4303593e-10
-4.9346412e-11,4.5798387e-10,4.38891e-07,3.5929104e-10
-3.9220006e-11,4.7953846e-10,4.4235307e-07,4.0109843e-10
-3.312404e-11,4.6905174e-10,4.5019408e-07,4.0280368e-10
-3.584014e-11,4.437332e-10,4.5990453e-07,3.7205292e-10
-3.345082e-11,4.474609e-10,4.612913e-07,3.8055925e-10
-1.6523487e-11,4.702633e-10,4.574085e-07,4.3721632e-10
2.6110138e-12,5.211895e-10,4.5419833e-07,5.264115e-10
1.1854947e-11,5.3865723e-10,4.544231e-07,5.6236715e-10
6.6406867e-12,5.114946e-10,4.550325e-07,5.24776e-10
1.1044551e-12,4.8247756e-10,4.5497347e-07,4.8468646e-10
1.2054194e-12,4.8369747e-10,4.5440402e-07,4.861083e-10
5.6995944e-13,4.751572e-10,4.5555427e-07,4.7629706e-10
1.7677904e-11,5.1083404e-10,4.616734e-07,5.4618987e-10
3.2195163e-11,5.117577e-10,4.6980387e-07,5.76148e-10
2.734368e-11,5.344326e-10,4.7859345e-07,5.8912e-10
2.0970059e-11,5.2137217e-10,4.896684e-07,5.633123e-10
2.2816216e-11,4.515303e-10,4.9971675e-07,4.971627e-10
5.051502e-11,2.9346356e-10,5.053966e-07,3.9449358e-10
9.8312594e-11,1.4629477e-10,5.0848166e-07,3.4291997e-10
1.5664944e-10,1.1843188e-12,5.1415594e-07,3.1448322e-10
2.1800396e-10,-2.364156e-10,5.2750585e-07,1.9959231e-10
2.672739e-10,-5.161811e-10,5.4760744e-07,1.8366697e-11
2.9757366e-10,-7.8603546e-10,5.75192e-07,-1.9088817e-10
3.2203495e-10,-1.0775815e-09,6.10778e-07,-4.3351156e-10
3.5345007e-10,-1.436165e-09,6.5496494e-07,-7.2926487e-10
3.912904e-10,-1.9283692e-09,7.087106e-07,-1.1457886e-09
4.2394038e-10,-2.4480924e-09,7.718796e-07,-1.6002115e-09
4.3507814e-10,-2.9806377e-09,8.437786e-07,-2.1104813e-09
4.2386927e-10,-3.5614016e-09,9.2103375e-07,-2.713663e-09
3.9175174e-10,-4.172714e-09,1.003306e-06,-3.3892105e-09
3.5014813e-10,-4.883899e-09,1.0877789e-06,-4.183603e-09
3.0891517e-10,-5.5661857e-09,1.1737375e-06,-4.9483555e-09
2.8423458e-10,-6.318379e-09,1.2602067e-06,-5.7499103e-09
2.6028935e-10,-7.0382358e-09,1.3547786e-06,-6.5176566e-09
2.0939123e-10,-7.553558e-09,1.4621139e-06,-7.1347754e-09
1.1964037e-10,-7.893646e-09,1.5823302e-06,-7.654365e-09
2.3697884e-11,-8.183301e-09,1.7065965e-06,-8.135906e-09
-2.8716226e-11,-8.597292e-09,1.8296264e-06,-8.654725e-09
9.9487155e-12,-9.285796e-09,1.9507013e-06,-9.265899e-09
1.3769676e-10,-9.97588e-09,2.0795633e-06,-9.700486e-09
3.061902e-10,-1.06010525e-08,2.229556e-06,-9.988671e-09
4.3907325e-10,-1.11553335e-08,2.403867e-06,-1.0277186e-08
4.652022e-10,-1.1367569e-08,2.5905397e-06,-1.0437165e-08
3.7534278e-10,-1.1583179e-08,2.7716774e-06,-1.0832494e-08
2.1946042e-10,-1.1849264e-08,2.9299135e-06,-1.1410344e-08
9.792277e-11,-1.213732e-08,3.0666424e-06,-1.19414745e-08
1.09155684e-10,-1.22789015e-08,3.1955342e-06,-1.2060591e-08
2.6122884e-10,-1.2602875e-08,3.3311821e-06,-1.2080417e-08
4.4367318e-10,-1.2719614e-08,3.4784268e-06,-1.1832267e-08
4.9870713e-10,-1.24328725e-08,3.6290307e-06,-1.1435459e-08
3.593179e-10,-1.1909753e-08,3.764746e-06,-1.1191117e-08
8.54561e-11,-1.1677651e-08,3.872565e-06,-1.1506739e-08
-1.8115706e-10,-1.2286138e-08,3.9551924e-06,-1.2648453e-08
-3.1758263e-10,-1.3394348e-08,4.022326e-06,-1.4029513e-08
-2.9534358e-10,-1.4335726e-08,4.077287e-06,-1.4926414e-08
-1.9373927e-10,-1.4568023e-08,4.110371e-06,-1.4955502e-08
-1.4893277e-10,-1.344366e-08,4.111995e-06,-1.3741525e-08
-2.5117775e-10,-1.1782206e-08,4.076406e-06,-1.2284562e-08
-4.833895e-10,-1.044802e-08,4.019501e-06,-1.1414799e-08
-6.958687e-10,-1.1146902e-08,3.9744086e-06,-1.2538639e-08
-7.172828e-10,-1.406825e-08,3.945024e-06,-1.5502815e-08
-5.9896205e-10,-1.6771953e-08,3.92186e-06,-1.7969878e-08
-5.1574467e-10,-1.7426647e-08,3.88442e-06,-1.8458135e-08
-6.1681193e-10,-1.569984e-08,3.8223375e-06,-1.6933463e-08
-8.3769436e-10,-1.3941029e-08,3.754788e-06,-1.5616418e-08
-9.078632e-10,-1.3382419e-08,3.742399e-06,-1.5198145e-08
-6.065009e-10,-1.3996814e-08,3.8656326e-06,-1.5209816e-08
4.3504512e-11,-1.5392095e-08,4.1644744e-06,-1.5305085e-08
6.861556e-10,-1.5991912e-08,4.590885e-06,-1.46196015e-08
8.124466e-10,-1.5139985e-08,5.0236576e-06,-1.3515091e-08
1.3128204e-10,-1.33986475e-08,5.3280173e-06,-1.3136084e-08
-1.1747332e-09,-1.1332568e-08,5.469229e-06,-1.3682034e-08
-2.5817128e-09,-1.017543e-08,5.529938e-06,-1.5338856e-08
-3.6155487e-09,-1.0843704e-08,5.647143e-06,-1.80748e-08
-4.140718e-09,-1.21442065e-08,5.9136637e-06,-2.0425643e-08
-4.2937476e-09,-1.2918982e-08,6.3204034e-06,-2.1506478e-08
-4.2231427e-09,-1.4617712e-08,6.7356345e-06,-2.3063997e-08
-4.0511368e-09,-1.6927604e-08,7.000837e-06,-2.5029877e-08
-3.8958614e-09,-1.7868045e-08,7.107826e-06,-2.5659768e-08
-3.802892e-09,-1.8821762e-08,7.190931e-06,-2.6427546e-08
-3.8207406e-09,-2.1279371e-08,7.398742e-06,-2.8920853e-08
-4.0895416e-09,-2.1359948e-08,7.784563e-06,-2.953903e-08
