Surface sensible+latent heat flux (Wm**-2),Surface downwelling shortwave flux (Wm**-2),Surface downwelling longwave flux (Wm**-2),Sea level pressure (hPa),Total precipitation (mm/day),Relative humidity averaged 1000-300hPa (%),U wind at 10 m (m s**-1),V wind at 10 m (m s**-1),TotalArc,Total cloud cover (%),Total column cloud water (g m**-2),GH_mean
-14.51574644,3.397133878,188.5664736,1019.8074039999999,0.858821485,72.95073997,-0.309647671,-0.30869020199999997,15053607.0,84.54334285,39.07062064,5880.449751666667
-11.15538535,18.95397053,194.3819669,1013.9528640000001,0.8317773690000001,73.5216697,0.717917742,0.132609968,16074814.0,83.16700118,39.98427963,5861.477612999999
-15.8244419,71.86987645,197.2698906,1018.9006619999999,0.669739451,74.49936484,-0.21800509899999998,-0.22979527,16207072.0,81.49018602,34.14365724,5912.337135333334
-24.11621851,159.062774,216.4524585,1016.8643189999999,0.776845542,71.98254998,-0.188627425,-0.334186323,15546525.0,79.28469243,41.75753118,5984.780309333334
-31.23007666,225.0846148,260.7008786,1017.9700330000001,0.8408394140000001,68.85145378,-1.038647567,-0.6113753789999999,14080852.0,80.42028697,63.75254192,6128.435629333333
-42.63528197,248.960398,287.7266919,1010.694698,1.144306622,68.68565392,0.20958402899999998,-0.080660628,12372595.0,74.50238049,79.67650036,6196.586588666666
-41.33517217,196.1127406,308.73208660000006,1011.741133,1.339466384,69.91782659,-0.453901575,-0.367230089,10433081.0,79.97203334,108.74859840000002,6258.562161666666
-33.58999905,138.10551809999998,300.8261472,1012.249664,1.428238539,70.36441084,0.40044040399999997,-0.061187372999999996,8082016.0,78.03896091,107.6503726,6231.252685666666
-24.48322946,72.49582459999999,275.8175201,1011.8163710000001,1.295853194,73.19855362,0.295046745,-0.107472095,7856976.0,80.76476407,85.89020918,6110.725603666669
-22.44311996,25.09479985,247.13436719999999,1012.156124,1.208259831,74.08802576,-0.046088494,-0.338026981,9485305.0,83.98118164,67.6964825,6016.660310333333
-22.2250324,5.490393063,202.64454609999999,1013.9310199999999,1.001669044,76.52656729,-0.868511296,-0.661233659,11721403.0,83.82332705,43.31255744,5882.369007333334
-21.26919812,1.349911123,188.9940521,1015.0681800000001,0.917120598,74.79963120000001,0.278729917,-0.213972429,13752372.0,83.07042432,38.3139036,5840.983108666667
-19.53082878,3.2668462480000002,200.15734609999998,1009.182876,1.0532360790000002,74.99719443,0.948451452,0.101154707,15109158.0,86.45997740000001,46.45834994,5818.8759156666665
-16.73342981,19.33194901,191.3423314,1015.095326,0.9008966359999999,74.26017923,0.6984344579999999,0.10497920599999999,15748975.0,82.76803217,38.85977265,5849.295714
-24.09576268,70.61038445,195.8419806,1016.74441,0.748769342,72.20378478,-1.27620604,-0.927729082,15703794.0,80.07820284,34.7148648,5911.1454650000005
-22.97025258,155.7289384,221.8931614,1014.502159,0.834089758,73.43405157,-0.168907127,-0.192096422,15192945.0,80.16061493,45.29211696,5960.676167666667
-29.71639276,232.27505159999998,257.0879841,1013.881174,0.898755726,69.11463537,0.020337703000000002,-0.213359278,13921115.0,77.16767464,58.78244138,6093.627523
-43.35783321,241.1450756,290.9026417,1012.965212,1.267868442,68.0736111,-0.356220964,-0.325761254,12621552.0,76.18232893,88.47374765,6212.650323999999
-41.3308979,197.8859244,307.3828853,1009.039021,1.5150871369999999,70.3596287,0.411669147,-0.010436832,10667981.0,78.62420944,113.1999903,6245.932875333335
-32.16029632,136.80307290000002,303.3277888,1011.42785,1.509377807,70.50260205,0.576080513,0.046416997,7886965.0,78.77910838,110.7849466,6238.932629333333
-22.43742957,68.46061882,280.6191497,1014.881958,1.3297364329999999,74.35168097,-0.49625383100000003,-0.44020232299999995,7250748.0,83.95252274,97.07859011,6142.776314333332
-24.04940551,24.82233921,250.43427180000003,1017.2646689999999,1.280415123,75.09808917,-0.913912697,-0.602139152,9214381.0,85.99158696,73.36696177,6048.193736333334
-20.09514706,5.48541622,218.73887349999998,1012.893394,1.084681761,75.31918906,0.223557061,-0.14669319,11206113.0,85.14210868,51.42969754,5921.321634333333
-20.78824408,1.321941712,195.64642130000001,1012.801285,0.9260285909999999,73.6061288,-0.585375484,-0.461877251,13776309.0,84.01101206,40.4845387,5851.630109999999
-15.57489602,3.557366736,178.6328185,1016.5169080000001,0.815921709,73.40586312,-0.04615756,-0.283784045,15340865.0,81.84980226,35.36633118,5831.491737666667
-9.135404876,18.86507134,192.5083375,1013.403876,0.921531201,76.65030957,0.571776673,0.24357241,16135234.0,83.9123404,42.83761904,5844.433821999999
-14.65196211,70.89868536,192.5848925,1013.9967550000001,0.76076179,74.71226015,0.17941017899999998,-0.01666529,16227629.0,80.56922856,35.10115126,5854.447474333333
-22.18168701,155.8547492,218.20019900000003,1012.219036,0.9214587259999999,73.84549173,0.303134355,-0.092669341,15624536.0,80.72254092,44.48347553,5944.578183999999
-33.10286171,230.4512603,252.5627596,1018.0398349999999,0.885436071,70.39467378,-0.798846278,-0.530277187,14180382.0,80.05637402,58.910689399999995,6100.258145
-43.06064148,246.22704649999997,287.43743989999996,1014.577152,1.1289680990000002,69.08410417,-0.818244517,-0.510312115,12749741.0,77.30834891,79.55127196,6214.152705333334
-44.02141326,210.32832459999997,306.2621134,1010.436735,1.354149029,68.37369156,0.510834635,0.030484921,10805880.0,73.93840535,96.95102447,6260.440605
-32.35790624,137.129269,299.8962479,1011.126931,1.4381145569999998,70.90782889,0.134883505,-0.16930606899999998,8300662.0,78.47877907,107.24746110000001,6213.547850999999
-26.44055697,71.99457812,275.29861150000005,1010.250576,1.50695139,73.89483104,0.34088886399999996,-0.12000129,7454783.0,81.6907671,89.43627091,6088.910148666667
-21.19172114,25.54387578,241.02140079999998,1013.659163,1.220897873,76.67238661,-0.33009150600000003,-0.276351759,10019317.0,85.95510153,67.04185255,5990.501313000001
-20.94436049,5.68507614,206.96421619999998,1011.6868630000001,1.1055298709999999,75.74407296,-0.531049572,-0.38358792799999997,11959292.0,85.43980819,49.41077728,5872.486449
-19.67873651,1.323769013,196.1421735,1008.935783,1.0366769470000001,75.81700289,-0.325597501,-0.295890257,13871330.0,85.73376331,42.6470908,5809.122391333334
-20.799301899999996,3.333267479,188.4890043,1009.456253,0.9944782320000001,76.03030371,0.10459809099999999,0.010553011000000001,15159948.0,86.47827692,40.42464069,5777.618011
-17.66007029,18.52487745,187.3122605,1015.751657,0.835562996,74.3359598,0.584646639,0.128013288,16095113.0,84.47954565,38.38763372,5840.649745
-18.65336593,68.09775903,198.3252538,1016.0834570000001,0.786359219,71.4223652,0.09325431599999999,-0.15000970000000002,16185533.0,79.49663915,37.95815536,5904.469407
-25.61976331,150.97759299999998,218.13842250000002,1019.3020630000001,0.802127947,71.23775236,-0.8665075040000001,-0.597106967,15363742.0,81.08649401,44.75613079,5998.708834
-30.54978034,228.0055149,252.49467239999998,1017.409829,0.769373552,69.44132128,-0.631009456,-0.563806988,13566764.0,79.23667319,56.84943681,6099.229378666668
-43.6329001,252.38808889999999,284.51151160000006,1011.460485,1.183585037,67.83266899,0.7703135870000001,0.045889327,12387795.0,71.44336924,75.66692745,6193.169708999999
-42.17932696,197.5805091,308.95707180000005,1010.016536,1.4412467519999999,69.82646985,0.22555572399999999,-0.04537705400000001,10945685.0,77.65641745,108.5710131,6259.374412
-31.37356153,131.5441601,303.0158415,1007.6421789999999,1.651146871,72.84845744,0.717900016,0.14613632,8392355.0,80.63466832,116.73695829999998,6199.763262666666
-24.74518231,70.11282674,278.9560785,1012.1472859999999,1.419697802,73.75692545,-0.015442653,-0.293878579,7540600.0,81.83813997,95.6163042,6118.188249
-25.68473988,25.2496859,241.9386245,1009.157464,1.365974159,76.99222597,0.184204332,-0.19936295899999998,9689444.0,84.95474998,68.18638307,5955.3546590000005
-24.4238663,5.5692748629999995,213.2713672,1010.1171,1.115466424,76.02835463,-0.329923065,-0.40320201,11677528.0,85.81493377,49.32633016,5880.124938333333
-15.93645136,1.329928087,196.2662195,1011.9931019999999,0.9754634659999999,75.12084428,0.044066087999999996,-0.16090961,13487417.0,82.67558977,42.37390443,5845.41243
-15.13971389,3.356986142,192.1716763,1012.683515,0.8709315190000001,76.45026843,0.398888257,0.213334954,14691196.0,85.41896285,37.74164046,5803.904061
-12.87054486,19.12793798,187.8336602,1016.144693,0.8608445920000001,75.04499404,0.8720996459999999,0.510340019,15424012.0,83.35132519999999,39.60609241,5844.311682999999
-18.676134,71.46881852,193.8619928,1020.948767,0.6781666279999999,72.43169226,0.175937135,-0.14534008699999998,15716599.0,78.36944166,34.14690299,5928.724055666667
-22.73976801,160.0835803,211.91425530000004,1017.1619910000001,0.805562255,69.96913926,-0.290736003,-0.197539889,15226124.0,77.67648747,41.04414165,5977.099672
-33.77448844,230.7498023,256.51088,1013.978323,0.885342346,68.99827406,0.25282279399999996,-0.10174444699999999,13700707.0,76.69579112,59.51219476,6089.261027333333
-44.96045752,244.8295784,290.80783219999995,1012.340617,1.23369655,67.9907542,-0.147501952,-0.271702512,12253081.0,74.992399,82.50034614,6211.531813666666
-41.74362445,198.95501299999998,311.22432599999996,1010.9588349999999,1.4441246330000002,69.41443002,-0.016033883,-0.16260168,10217529.0,77.15224086,109.13326229999998,6273.730645333333
-31.68440042,130.5250193,302.7470285,1008.669227,1.650831247,72.17056883,0.542655831,0.101392539,7938903.0,81.15348496,115.60858590000002,6204.8593586666675
-21.98449236,70.00956334,279.8605241,1012.6167449999999,1.302838124,73.92540365,0.055450039000000007,-0.232628168,7111240.0,81.40076057,93.19256968,6129.800026
-22.17775923,24.87229772,247.647208,1014.050468,1.2024446579999999,74.93032611,-0.45843248799999997,-0.434600191,8870272.0,84.70345949,71.10590148,6019.962691
